vin,sellingprice
1g6dp567450124779,4324.733080668989
1gtw7fca7e1902207,22327.066957927495
jn8az1mw6dw303497,18924.733473020224
2g1wf5e34d1160703,8787.607954684467
1n6aa0ec3dn301209,19159.020307208873
wvwvd63b93e175638,2175.2102427575987
5npeb4ac4dh809686,12642.80604853213
1fm5k7b97dgb16454,14561.48593254071
jn1cv6ar5bm411441,18070.529136869616
3gnfc16j77g158033,9602.323171587837
2g1wb5e30d1140332,12513.051211033682
jf2sjadc1fh417932,23408.060630635435
1fmcu0f75eue15137,7404.145009949972
jn8az18w29w128991,13912.892973436985
3fadp4ejxcm158293,6404.924616726726
1fahp2e96dg230937,15970.464114890568
knaft4a24b5326931,7503.460963921821
wbaeb5c57ac225968,32748.99022214003
1gndt13sx62216518,5431.293084555679
3gcukrec4eg454516,28394.3573573666
kmhgc4ddxcu168540,15930.435773363639
2gnfleek4c6221421,13519.79817551451
3gnda23d06s523147,3674.6000606012485
ja32u1fu0du008397,8588.69778364075
1fbne3bl1eda46070,19168.615363012384
2b8gp54l01r117477,848.113459529338
1fadp3f28el323070,12498.889043477613
1g3nl52f32c104253,973.6105916743845
yv4992dz6a2034805,14508.176060061267
1gmdv33l15d274975,2833.6580750412536
3fahp0ha5cr314457,11502.081792993045
kndjp3a5xe7072298,14191.078121945025
jh4cu2f49cc003441,18127.080999439982
1g2zm177284122405,5263.090094808235
1hgcp2f38ba122870,12402.622984793516
1n4aa5ap0bc847988,16722.336699427426
jt2bf28kx10337262,1768.9966917253555
2gtek13v961325160,11600.406899913924
1n4aa5ap7ac811245,15380.363351761358
1fadp3k25el151313,15164.513220048893
4t1bf1fk9eu774829,14659.658102139936
waugfafc2en098654,34311.699655157594
3fa6p0hr2dr238002,12375.373350267964
3fahp0ja5cr276738,9633.164105189746
2g1fa1e30d9157807,16019.170714281589
2t3bfrev4dw038526,17078.7769298061
5yfbu4ee8dp189095,12079.55580669882
yv1sz59h741164165,3386.635108903392
1hgcr2f84da020569,17365.33902171473
1c4njcba3fd124498,16408.355191237
1n4aa51e09c834554,9571.682925324598
1fmfu17525la35873,4731.461674791687
3vw2k7aj6dm209150,10107.97722562301
5j6rm3h7xdl004568,20803.462189182952
waufgafb8an026867,18104.86738282565
3fahp0ha0cr307061,12841.131306285946
1lnhm87a82y644589,814.7500335260662
2hkrl18022h576543,1090.5113337509415
2t1burhe2ec210372,14421.09366902102
nm0ge9f77e1151554,20405.042240376468
5xxgr4a66dg133932,18788.2493054916
5j6re48348l033196,7324.164720649342
1gnlvfed5aj252374,13422.79896419869
1ftfw1e69dfd71401,33793.826586243355
kmhdh4ae8du795370,8479.725150591388
1n4al2ap3cn408119,12385.595384462616
waugn74f37n041255,13581.946360574962
5xykt3a63eg479116,16650.655771078178
4t1bf3ek2au532729,9528.968943301175
knafx4a62e5225883,11915.267936815368
jnkcv51e63m329092,3853.8965246593157
jn1by1ar2cm394735,27287.228751077724
1j4fa59s0yp723644,2200.0856466542814
1fahp3f28cl166154,8720.183854847764
jtebu4bf2bk113263,22744.852451354283
2c4rc1gg7er180355,27345.336462922267
2hges16374h588764,2621.321307343158
wddgf81x78f169485,15520.449352675534
2c4rdgcg3er388917,16131.1684147138
1n4al2ap5cn424564,11480.09416234418
1ftfw1et8cfb48321,26893.480650821388
3fa6p0h71er259567,15426.465514941347
1c3cdzab7dn610562,9486.613346127098
1c6rd7ft7cs204333,12976.940282950733
5npeb4ac3ch290449,11270.194847918121
1ftfw1ef3bfc35956,26098.276338775173
jf1znaa10d1719373,17418.8449732942
2c4rdgegxer431226,19894.427724725254
1n4al3ap9ec105740,12885.630781538715
wbxpa73464wc36440,3709.092788086746
yv440mdb2f2610299,30082.72490656058
2c3ccakt9eh306087,24461.709322135346
2d4fv47tx6h156976,1956.4212034197851
1fbss3bl5edb01101,22182.53719083047
1ftww31p86ec33609,13821.249546502147
1g6dw677x50225462,3965.6660781418454
1ftfw1r69dfb74948,47987.24553896204
1fahp2e82eg107578,19019.170662340766
jn1cv6ek3cm422386,22299.676138437288
3fa6p0h7xdr271747,14002.949250781225
1g6dw677550216409,4897.192281955265
2gkaluek7c6276284,17666.24799455321
4t4be46k09r098027,5342.469340516359
1ft8w3dt0deb21420,42477.590967357966
knafe122845051705,1850.4109456187723
1g1pe5sb9e7114453,13131.648746253248
3c4pddbg6ct222361,8753.514494443558
km8jn72d05u127017,4361.234957698947
5tfhw5f13cx249936,26771.861163623016
1g1pc5sb7d7144958,8212.717066980587
1gnwkmeg6br194783,18698.970168543725
1g1zd5eb9af288546,6992.774158797543
1j4gw48s44c336467,3581.1269120907414
2melm74w1vx603619,400.66361334851314
knafx4a67e5127187,11379.199937832893
2t1br32e14c264462,4515.408014278626
1g1zd5eu9bf201988,7126.17809616773
kndup131046562894,2498.7732130741138
2g1wf5ek1b1281581,5931.723514933503
2t2gk31u77c011844,13925.453945706435
1ftnf1cf8ekd17420,18377.532835716043
waulc68e63a233402,3768.10380416612
jthgl46f875015124,14030.44627876608
5j6rm3h53cl025176,18896.55115743883
1fahp3fnxbw188972,9046.63620309703
wbabd33424jy97817,3752.511826287151
5uxfe83529l170811,19826.751224024225
jtdktud32ed584445,12392.399156795185
1g8aj55f77z187488,3207.551508249913
2c4rdgcg0cr204451,10592.898870301882
1n4aa5apxec438000,16912.807920034345
19uua9f55ca002462,23695.142360785638
1ftne24w67da44976,2090.994621982101
jn1cv6el0am150112,14905.439131345698
1fahp3n26cl476501,11804.677955774265
jn8af5mv5dt210835,14835.117710067758
1gnsckkc8fr205029,51154.752101255486
wddgf56x08f039121,10997.317582468457
3n1cn7ap6dl876005,8939.324171792507
1n4aa5ap3cc815652,15547.130245099961
3fadp4ej1dm227597,9646.229358362636
2t3bf4dv7bw172688,13654.15640945692
1g11h5sa9df251711,13346.55752363973
